,SqFootage,ProjType,Rooms,AppType,ProjName,Category,CreYear,LastYear,BOZA,PC,LDT,DRC,Units
0,0,multi-family,0,ZONE,Silver Bell Townhomes,multi family,2018,2018,No decision,No decision,No decision,No decision,10
1,9600,office,0,ZONE,Stony Brook Offices,commercial,2018,2018,No decision,No decision,No decision,No decision,0
2,0,multi-family,0,ZONE,Fairview Townhomes,multi family,2018,2018,No decision,No decision,No decision,No decision,4
3,0,senior living,0,ZONE,Clover Senior Housing,multi family,2018,2018,No decision,No decision,No decision,No decision,128
4,0,senior living,0,ZONE,Clover Senior Housing,multi family,2018,2018,No decision,No decision,No decision,No decision,128
5,96000,mini-warehouse,0,ZONE,Dorsey Self Storage,commercial,2018,2018,No decision,No decision,No decision,No decision,0
6,6000,veternary,0,ZONE,2940 Breckenridge Ln,commercial,2018,2018,No decision,No decision,No decision,No decision,0
7,4080,storage,0,ZONE,Midwest Sprinkler Corp.,industrial,2018,2018,No decision,No decision,No decision,No decision,0
8,0,single-family,0,ZONE,1609 Bluegrass Ave,single family,2018,2018,No decision,No decision,No decision,No decision,0
9,34000,industrial,0,ZONE,Collins Lane,industrial,2018,2018,No decision,No decision,No decision,No decision,0
10,0,single-family,0,ZONE,Mayrow Drive,single family,2018,2018,No decision,No decision,No decision,No decision,0
11,0,multi-family,0,ZONE,Zoning Change,multi family,2018,2018,No decision,No decision,No decision,No decision,3
12,0,multi-family,0,ZONE,117 N. Jane St,multi family,2018,2018,No decision,No decision,No decision,No decision,2
13,0,multi-family,0,ZONE,Stone Bluff Rd,multi family,2018,2018,No decision,No decision,No decision,No decision,340
14,28250,commercial,0,ZONE,Stone Bluff Rd,commercial,2018,2018,No decision,No decision,No decision,No decision,0
15,0,single-family,0,ZONE,3617 Mud Ln,single family,2018,2018,No decision,No decision,No decision,No decision,0
16,0,single-family,0,ZONE,4229 Taylorsville Rd,single family,2018,2018,No decision,No decision,Sent to PC,No decision,0
17,9000,contractor,0,ZONE,Southside Dr,industrial,2018,2018,No decision,No decision,No decision,No decision,0
18,473,private club,0,ZONE,4717 Preston Hwy,commercial,2018,2018,No decision,No decision,No decision,No decision,0
19,0,multi-family,0,ZONE,Shelby Parkway Apartments,multi family,2018,2018,No decision,No decision,No decision,No decision,24
20,38850,retail,0,ZONE,Freys HIll Commerical,commercial,2018,2018,No decision,No decision,No decision,No decision,0
21,0,single-family,0,ZONE,814 Vine St,single family,2018,2018,No decision,Approved,Sent to PC,No decision,0
22,0,single-family,0,ZONE,Factory Lane,single family,2018,2018,No decision,Approved,Sent to PC,No decision,0
23,2520,commercial,0,ZONE,La Petite School of Dance,commercial,2018,2018,No decision,No decision,No decision,No decision,0
24,0,multi-family,0,ZONE,Zion Manor Apartments II,multi family,2018,2018,No decision,No decision,No decision,No decision,348
25,58300,retail,0,ZONE,Zion Manor Apartments II,commercial,2018,2018,No decision,No decision,No decision,No decision,0
26,22730,restaurant,0,ZONE,Zion Manor Apartments II,commercial,2018,2018,No decision,No decision,No decision,No decision,0
27,7200,banking,0,ZONE,Zion Manor Apartments II,commercial,2018,2018,No decision,No decision,No decision,No decision,0
28,150260,mini-warehouse,0,ZONE,Winchester Acres Self Storage,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
29,40000,office,0,ZONE,1701 N English Station Rd,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
30,4800,banking,0,ZONE,13811 Wickham Green Way,commercial,2018,2018,No decision,No decision,No decision,No decision,0
31,4800,retail,0,ZONE,13811 Wickham Green Way,commercial,2018,2018,No decision,No decision,No decision,No decision,0
32,0,hotel,110,ZONE,13811 Wickham Green Way,commercial,2018,2018,No decision,No decision,No decision,No decision,0
33,13445,restaurant,0,ZONE,13811 Wickham Green Way,commercial,2018,2018,No decision,No decision,No decision,No decision,0
34,0,multi-family,0,ZONE,108 Urton Lane,multi family,2018,2018,No decision,No decision,No decision,No decision,37
35,1104,office,0,ZONE,4738 Dixie Highway,commercial,2018,2018,No decision,No decision,Sent to PC,No decision,0
36,0,multi-family,0,ZONE,Gray St Apartments,multi family,2018,2018,No decision,No decision,No decision,No decision,246
37,0,single-family,0,ZONE,Valla-Forest Subdivsion,single family,2018,2018,No decision,No decision,No decision,No decision,0
38,0,multi-family,0,ZONE,10620 Taylorsville Rd,multi family,2018,2018,No decision,Approved,Sent to PC,No decision,38
39,8000,office,0,ZONE,Logistics Airpark,commercial,2018,2018,No decision,No decision,No decision,No decision,0
40,1024382,warehouse,0,ZONE,Logistics Airpark,industrial,2018,2018,No decision,No decision,No decision,No decision,0
41,0,single-family,0,ZONE,4115 Taylorsville Rd,single family,2018,2018,No decision,Approved,Sent to PC,No decision,0
42,55025,mini-warehouse,0,ZONE,3rd Street Rd Mini Storage,commercial,2018,2018,No decision,No decision,No decision,No decision,0
43,900,office,0,ZONE,3rd Street Rd Mini Storage,commercial,2018,2018,No decision,No decision,No decision,No decision,0
44,69917,office,0,ZONE,L&N Federal Credit Union,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
45,3450,commercial,0,ZONE,2516 S 4th Street,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
46,0,multi-family,0,ZONE,2516 S 4th Street,multi family,2018,2018,No decision,Approved,Sent to PC,No decision,11
47,18000,office,0,ZONE,6008 New Cut Rd,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
48,234080,warehouse,0,ZONE,6008 New Cut Rd,industrial,2018,2018,No decision,Approved,Sent to PC,No decision,0
49,0,multi-family,0,ZONE,Butchertown Apartments,multi family,2018,2018,No decision,Approved,Sent to PC,No decision,15
