Certifications,10th Mark,12th Mark,college mark,hobbies,Daily_study_time,Prefer_study_time,Exp_salary,Interest,Career_basedon_degree,Stress Level ,Financial Status
No,79,65,80,Video Games,30,Morning,40000,No,50,Bad,Bad
No,70,80,70,Cinema,60,Morning,15000,Yes,75,Bad,Bad
Yes,69.5,61,55,Cinema,120,Anytime,13000,Yes,50,Awful,Bad
Yes,70,59,58,Reading books,120,Anytime,1500000,No,50,Bad,good
No,40,65,30,Video Games,60,Morning,50000,Yes,25,Good,good
Yes,90,75,70,Cinema,60,Night,20000,Yes,50,Bad,good
Yes,70,63,3,Reading books,120,Morning,15000,Yes,75,Good,good
No,61.6,61.67,75,Sports,120,Morning,25000,Yes,50,Good,good
No,88.2,67.5,60,Video Games,30,Morning,20000,Yes,75,Bad,Bad
No,60,65,70,Video Games,30,Anytime,20000,Yes,75,Good,good
No,75,70,60,Video Games,120,Morning,18000,Yes,75,Good,Bad
No,60,55,65,Cinema,180,Night,20000,Yes,75,Bad,Bad
Yes,59,54,80,Reading books,60,Morning,18000,Yes,75,Bad,good
No,50,55,50,Cinema,30,Anytime,17,Yes,75,Good,Awful
Yes,89.5,69.7,70,Cinema,60,Anytime,60000,Yes,75,Good,good
Yes,54,48,60,Video Games,60,Anytime,18000,Yes,75,Good,Bad
Yes,83,76,75,Sports,120,Anytime,15000,Yes,75,Good,good
Yes,62,61.3,53,Cinema,30,Night,0,Yes,100,Bad,Bad
No,60,65,60,Cinema,30,Anytime,30000,Yes,100,Bad,Bad
Yes,60,70,88,Cinema,60,Anytime,20000,Yes,100,Good,good
Yes,65,65,50,Sports,60,Anytime,10000,Yes,75,Bad,Bad
No,65,70,50,Cinema,120,Morning,20000,Yes,50,Good,Bad
No,78,60,60,Cinema,120,Anytime,25000,Yes,75,Bad,good
No,75,73.8,65,Video Games,120,Morning,18000,Yes,50,Good,good
No,75,60,80,Cinema,30,Anytime,20000,Yes,50,Awful,good
No,60,50,50,Sports,60,Morning,18000,Yes,75,Bad,good
Yes,90,90,80,Cinema,120,Anytime,30000,Yes,50,Good,Bad
No,73,85,55,Sports,30,Morning,15000,Yes,100,Good,good
No,89,77,65,Sports,60,Night,20000,Yes,100,Awful,Bad
No,94,94,80,Reading books,60,Night,15000,Yes,75,Good,Bad
No,60,65,65,Sports,30,Morning,30000,Yes,75,Good,good
No,78,60,75,Sports,60,Anytime,30000,Yes,100,Good,Bad
Yes,69,60,50,Sports,30,Anytime,20000,Yes,75,Good,Awful
No,85.6,70,65,Cinema,120,Anytime,15000,Yes,75,Awful,Bad
Yes,65,60,65,Video Games,60,Anytime,17000,Yes,75,Bad,good
No,70,60,60,Sports,30,Morning,15000,Yes,50,Bad,Bad
No,85,80,80,Sports,180,Anytime,15000,Yes,100,Good,good
No,90,90,90,Cinema,30,Night,25000,Yes,100,Awful,good
Yes,79,65,75,Video Games,60,Morning,40000,Yes,75,Good,Bad
No,77,87,60,Video Games,60,Anytime,10000,No,25,Bad,Bad
No,54,51,66,Sports,60,Morning,50000,Yes,50,Bad,good
No,70,55,70,Reading books,120,Night,20000,Yes,75,Good,good
No,72,80,79,Cinema,30,Anytime,10000,Yes,50,Good,good
No,70,70,70,Cinema,240,Anytime,20000,Yes,100,Good,good
Yes,70,75,70,Sports,30,Anytime,20000,Yes,75,Good,good
Yes,64,88,70,Sports,120,Morning,10000,Yes,25,Bad,good
No,75,75,75,Sports,60,Anytime,30000,Yes,75,Good,good
No,60,82,65,Video Games,30,Anytime,100000,Yes,75,Awful,good
Yes,66,65,60,Reading books,120,Morning,20000,Yes,50,fabulous,good
No,73,72,1,Reading books,120,Night,15000,Yes,75,Good,good
Yes,62,53,80,Sports,120,Morning,50000,Yes,75,Awful,Awful
Yes,85,88,89,Sports,120,Anytime,8000,Yes,100,Bad,Bad
No,70,80,75,Reading books,300,Anytime,15000,Yes,100,Bad,good
Yes,98,80,85,Reading books,120,Anytime,15000,Yes,100,Good,Bad
Yes,86,78,85,Reading books,120,Anytime,10000,Yes,75,Bad,good
No,87,84,92,Sports,60,Morning,20000,Yes,75,fabulous,Bad
Yes,82,70,80,Reading books,180,Morning,15000,Yes,100,fabulous,Bad
Yes,80,60,60,Sports,120,Morning,18000,Yes,75,Good,good
Yes,93.6,85,93,Sports,120,Anytime,20000,Yes,100,Good,good
Yes,90,80,95,Sports,240,Anytime,50000,Yes,75,Bad,Bad
Yes,88,81,80,Cinema,60,Morning,15000,Yes,75,Good,good
Yes,87,78,84,Cinema,60,Morning,15000,Yes,75,Good,good
Yes,70,70,90,Cinema,300,Anytime,15000,Yes,100,Awful,Bad
Yes,89,69,80,Sports,60,Anytime,20000,No,25,Bad,Awful
Yes,70,60,70,Video Games,30,Anytime,20000,Yes,50,Bad,good
Yes,95,90,90,Cinema,120,Morning,25000,Yes,75,Good,good
Yes,80,75,75,Reading books,180,Morning,20000,Yes,75,Good,good
Yes,90,62,79,Reading books,60,Night,18000,Yes,75,Bad,Bad
Yes,84,65,85,Cinema,120,Night,50000,Yes,75,Good,good
Yes,50,50,60,Reading books,60,Night,10000,Yes,75,Bad,good
Yes,91,60,60,Sports,60,Anytime,15000,Yes,25,Bad,Bad
No,84,64,75,Sports,180,Anytime,20000,Yes,50,Bad,good
No,87,75,89,Cinema,30,Anytime,10000,No,25,Good,Bad
Yes,89.8,63.3,73.3,Sports,30,Anytime,50000,Yes,50,Bad,good
Yes,89,69,80,Video Games,240,Morning,20000,Yes,75,Good,good
Yes,75,55,60,Sports,60,Morning,20000,Yes,75,Good,good
Yes,93,66,85,Reading books,120,Anytime,20000,Yes,100,Good,good
Yes,92,69,85,Cinema,120,Night,15000,Yes,75,Good,good
Yes,88,58,50,Sports,60,Night,20000,Yes,75,Bad,Fabulous
Yes,88,70,70,Reading books,60,Anytime,18000,No,50,Awful,Awful
No,7.4,79,75,Sports,120,Night,12000,Yes,75,Good,Bad
Yes,75,70,70,Cinema,300,Anytime,10000,Yes,75,Good,good
Yes,80,70,75,Sports,30,Morning,25000,Yes,75,Awful,Bad
Yes,81.4,69,75,Cinema,60,Anytime,25000,No,100,Good,Awful
Yes,78,55,70,Reading books,240,Anytime,21,Yes,100,Awful,good
No,60,60,50,Cinema,60,Morning,25000,Yes,75,Good,Bad
Yes,75,64,74,Cinema,30,Anytime,20000,No,25,Good,good
Yes,90.2,61.6,85,Video Games,120,Anytime,35000,Yes,75,Bad,good
Yes,80,62,75,Sports,60,Night,20000,Yes,75,fabulous,Awful
No,86.5,65.3,79.5,Sports,30,Morning,15000,Yes,75,Good,good
Yes,88.8,71,85,Cinema,240,Morning,18000,Yes,100,Good,good
Yes,90,75,70,Sports,180,Night,20000,Yes,50,Bad,good
No,85,61,75,Reading books,180,Anytime,30000,Yes,50,Good,good
No,76,70,7.5,Sports,120,Morning,15000,No,50,Good,good
Yes,80,70,70,Cinema,240,Night,50000,No,100,Bad,good
Yes,91,73.3,85,Sports,60,Morning,25000,Yes,100,Good,good
Yes,85,90,85,Cinema,60,Anytime,20000,Yes,100,Good,Awful
Yes,80,60,80,Sports,180,Night,25000,Yes,75,Good,good
No,85.8,63.66,80,Sports,30,Anytime,20000,Yes,75,Good,good
No,80,70,60,Video Games,30,Anytime,10000,Yes,25,Good,good
No,75,50,78,Sports,30,Night,18000,Yes,50,Bad,Bad
Yes,95,75,85,Reading books,180,Anytime,25000,Yes,50,Good,good
Yes,95,85,86,Reading books,120,Night,15000,Yes,50,Good,good
Yes,90,64,80,Reading books,60,Anytime,20000,Yes,75,Bad,Bad
Yes,79.4,61.33,80.87,Sports,120,Anytime,25000,Yes,75,Good,Bad
No,90,74,74,Cinema,60,Anytime,30000,Yes,75,Bad,Bad
No,77,70,60,Video Games,180,Anytime,20000,Yes,75,Good,good
Yes,80,60,70,Video Games,30,Anytime,10000,Yes,50,Good,Bad
Yes,90,57,68,Reading books,120,Anytime,30000,Yes,100,Good,Bad
Yes,84,63,70,Sports,30,Morning,20000,Yes,50,Good,Bad
Yes,86,68,70,Sports,60,Anytime,20000,Yes,100,Good,Bad
Yes,94,69,85,Cinema,60,Anytime,12000,Yes,50,Bad,good
Yes,69,54,50,Cinema,60,Anytime,16000,Yes,50,Bad,good
Yes,85,64,80,Cinema,30,Morning,15000,No,75,Bad,Bad
No,88,88,80,Reading books,120,Anytime,15000,No,50,Bad,Awful
No,85,50,70,Video Games,60,Anytime,25000,Yes,75,Bad,Bad
Yes,69,60,68,Video Games,30,Night,20000,Yes,100,Good,good
Yes,85,60,60,Sports,60,Anytime,17000,Yes,75,Bad,good
Yes,85,72,70,Sports,120,Anytime,18000,No,50,Good,Bad
Yes,70,78,75,Cinema,30,Anytime,15000,Yes,75,Bad,good
Yes,72,75,80,Reading books,180,Night,20000,Yes,75,Good,good
Yes,80,60,68,Video Games,60,Night,20000,Yes,100,Bad,good
Yes,60,68.1,70,Sports,60,Morning,15000,Yes,75,Good,Bad
Yes,84,55,70,Video Games,60,Anytime,20000,Yes,75,Bad,good
Yes,72.6,62.6,85,Cinema,30,Night,17000,Yes,100,Good,good
